Topic,Category,Value,Unit,Year
Inhabitants,Population,7670,Number,2024
Men,Population,3895,Number,2024
Women,Population,3780,Number,2024
Ages 0 - 15,Population,560,Number,2024
Ages 15 - 25,Population,1140,Number,2024
Ages 25 - 45,Population,3240,Number,2024
Ages 45 - 65,Population,1700,Number,2024
Ages 65 and up,Population,1035,Number,2024
Not married,Population,5455,Number,2024
Married,Population,1670,Number,2024
Divorced,Population,420,Number,2024
